10/14/2023, 21:41:07 Epoch: 1, Loss: 0.1466 
 Predict_label: tensor([[-1.7120e+00,  7.7484e-01, -2.0646e+00, -1.7368e+00,  3.4317e+00,
          2.1834e+00,  1.8692e+00, -8.6530e-01,  2.7253e+00,  7.7689e-01,
         -3.6125e-02, -1.0724e+00,  4.0425e+00,  4.0579e+00,  4.7578e+00,
          1.2255e+00,  2.3875e+00,  1.1502e+00,  8.6276e-01,  2.0800e+00,
          1.2231e+00, -9.1149e-01, -1.6458e+00,  4.7707e+00,  6.8483e-01,
          1.7949e+00,  1.9210e+00, -1.8257e+00, -2.9404e+00,  2.0599e-01,
          1.8000e-01, -3.4844e-01, -6.2851e-01, -3.1999e-01, -2.7282e+00,
         -1.9014e+00, -1.4106e+00, -1.9976e+00, -1.6954e+00, -1.5047e+00,
         -1.4172e+00,  3.4648e+00,  1.0815e+00, -3.0021e+00, -1.4849e+00,
         -6.3693e-01, -3.5413e+00, -1.3718e+00,  6.0082e-01, -5.3834e-01,
          1.0264e+00,  1.0820e+00, -3.2704e+00, -6.7366e+00, -1.2902e+00,
          9.7653e-01, -1.8884e-01, -2.2287e+00,  1.1311e+00,  1.8913e-01],
        [-5.8227e-01,  5.0732e-01,  9.3793e-01, -7.4574e-02,  1.8481e+00,
         -1.2109e+00, -3.0914e+00, -2.0857e+00, -5.7471e-01, -8.0982e-01,
          1.0696e-01,  1.2604e-02, -7.0696e-01, -1.2890e+00, -1.3937e+00,
          7.0601e-03,  6.8061e-01, -1.1574e+00, -1.1036e+00, -9.5506e-01,
          2.4783e-02, -3.7371e+00, -1.7784e+00, -2.4673e+00,  4.9010e-01,
          1.0562e-01, -1.9246e+00,  2.1975e-02,  1.5479e-01,  1.3137e+00,
         -8.2580e-01, -2.8144e-02,  3.5350e-02, -6.4857e-01, -2.1473e+00,
          1.3698e+00,  5.7920e-02, -8.6291e-01, -2.4463e+00, -3.8436e+00,
          1.6633e-02, -1.0427e+00, -3.3214e+00, -5.0057e-01,  1.2407e+00,
